id:ID,name,photoUrl,:LABEL
i0,College of William Mary,https://www.wm.edu/img/wm_vertical_single_line_full_color.png,INSTITUTE
i1,University of Rochester,https://d2jyir0m79gs60.cloudfront.net/college/logos/University_of_Rochester.png,INSTITUTE
i2,Emory University,https://communications.emory.edu/_includes/images/sections/branding-identity/horizontal-logo.png,INSTITUTE
i3,University of California--Berkeley,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Seal_of_University_of_California%2C_Berkeley.svg/1200px-Seal_of_University_of_California%2C_Berkeley.svg.png,INSTITUTE
i4,Carnegie Mellon University,https://www.cmu.edu/brand/brand-guidelines/images/wm-1in-600x600-min.jpg,INSTITUTE
i5,Harvard University,http://assets.stickpng.com/images/5842f68fa6515b1e0ad75b22.png,INSTITUTE
i6,Northwestern University,https://www.northwestern.edu/brand/images/nu-horizontal.jpg,INSTITUTE
i7,Cornell University,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cornell_University_seal.svg/1024px-Cornell_University_seal.svg.png,INSTITUTE
i8,Case Western Reserve University,https://case.edu/umc/sites/case.edu.umc/files/2018-03/formalLogo560x285.jpg,INSTITUTE
i9,Yale University,https://kclsed.org/wp-content/uploads/2020/02/yale-university-logo-png-2.png,INSTITUTE
i10,Johns Hopkins University,https://brand.jhu.edu/assets/uploads/sites/5/2014/06/university_logo_small_vertical_blue.png,INSTITUTE
i11,University of California--Los Angeles,https://upload.wikimedia.org/wikipedia/commons/9/9d/University_of_California%2C_Los_Angeles_logo.png,INSTITUTE
i12,University of illinois at Urbana Champaign,https://www.bestcollegesonline.org/wp-content/uploads/2019/10/university-of-illinois-at-urbana-champaign.png,INSTITUTE
i13,University of Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/University_of_Florida_Vertical_Signature.svg/1200px-University_of_Florida_Vertical_Signature.svg.png,INSTITUTE
i14,Wake Forest University,https://prod.wp.cdn.aws.wfu.edu/sites/73/2017/04/WFU_Univ_V_RGB.jpg,INSTITUTE
i15,University of California--San Diego,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png,INSTITUTE
i16,University of California--Irvine,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/University_of_California%2C_Irvine_seal.svg/1200px-University_of_California%2C_Irvine_seal.svg.png,INSTITUTE
i17,Boston University,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Boston_University_wordmark.svg/1200px-Boston_University_wordmark.svg.png,INSTITUTE
i18,New York University,https://download.logo.wine/logo/New_York_University/New_York_University-Logo.wine.png,INSTITUTE
i19,Lehigh University,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/LUwithShield-CMYK.svg/1200px-LUwithShield-CMYK.svg.png,INSTITUTE
i20,Georgetown University,https://www.georgetown.edu/wp-content/uploads/2019/10/Georgetown_logo_blueRGB-300x210.jpg,INSTITUTE
i21,University of Southern California,https://identity.usc.edu/files/2019/01/PrimShield-Word_SmallUse_CardOnTrans.png,INSTITUTE
i22,Tufts University,https://upload.wikimedia.org/wikipedia/commons/6/6f/Tufts_University_logo.png,INSTITUTE
i23,University of Notre Dame,https://seekvectorlogo.com/wp-content/uploads/2019/08/university-of-notre-dame-vector-logo.png,INSTITUTE
i24,University of Wisconsin--Madison,https://brand.wisc.edu/content/uploads/2016/11/readability-01.jpg,INSTITUTE
i25,University of Chicago,https://seekvectorlogo.com/wp-content/uploads/2018/01/university-of-chicago-vector-logo.png,INSTITUTE
i26,Tulane University,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Tulane_logo.svg/1200px-Tulane_logo.svg.png,INSTITUTE
i27,Stanford University,https://base.imgix.net/files/base/ebm/asumag/image/2019/05/asumag_9440_stanford_university_logo_png_1200.png?auto=format&fit=max&w=1200,INSTITUTE
i28,University of Pennsylvania,https://branding.web-resources.upenn.edu/sites/default/files/vertical_1.png,INSTITUTE
i29,Brandeis University,https://www.brandeis.edu/brand/images/logo/brandeis-logo-stacked-seal-blue-digital.png,INSTITUTE
i30,Northeastern University,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Northeastern_University_seal.svg/1200px-Northeastern_University_seal.svg.png,INSTITUTE
i31,Columbia University,https://www.rockefellerfoundation.org/wp-content/uploads/columbia-university-logo-png-columbia-university-crown.jpg,INSTITUTE
i32,Duke University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Duke_University_logo.svg/1280px-Duke_University_logo.svg.png,INSTITUTE
i33,Massachusetts Institute of Technology,https://base.imgix.net/files/base/ebm/asumag/image/2019/04/asumag_8781_mit_logo.png?auto=format&fit=crop&h=432&w=768,INSTITUTE
i34,University of Virginia,https://brand.virginia.edu/sites/uva_brand/files/styles/asset_embed_smallest_1_x/public/2017-08/uva_primary_logo.jpg?h=b655f2ac,INSTITUTE
i35,Dartmouth College,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Dartmouth_College_shield.svg/1200px-Dartmouth_College_shield.svg.png,INSTITUTE
i36,Vanderbilt University,https://i.pinimg.com/originals/95/a4/01/95a401a50835d866b2bf9a100b2ce121.png,INSTITUTE
i37,University of Texas at Austin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/University_of_Texas_at_Austin_logo.svg/1280px-University_of_Texas_at_Austin_logo.svg.png,INSTITUTE
i38,University of North Carolina at Chapel Hill,https://i.pinimg.com/originals/15/3a/cb/153acbc4b616698ca3f4ddd028dc8aa4.jpg,INSTITUTE
i39,Rice University,https://i.pinimg.com/originals/38/58/58/3858585be4f987f48ada19fcc17dfd3f.png,INSTITUTE
i40,Georgia Institute of Technology,https://brand.gatech.edu/sites/default/files/2020-08/gt-logo-gold.png,INSTITUTE
i41,Washington University in St Louis,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/WashU_St._Louis_seal.svg/1200px-WashU_St._Louis_seal.svg.png,INSTITUTE
i42,Boston College,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/1200px-Boston_College_Eagles_logo.svg.png,INSTITUTE
i43,University of Michigan,https://brand.umich.edu/assets/brand/downloads/um-logos/primary_logo_kit/color-logo/u-m_logo-hex.png,INSTITUTE
i44,California Institute of Technology,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Seal_of_the_California_Institute_of_Technology.svg/1200px-Seal_of_the_California_Institute_of_Technology.svg.png,INSTITUTE
i45,Brown University,http://assets.stickpng.com/images/5842f7f1a6515b1e0ad75b27.png,INSTITUTE
i46,University of California--Santa Barbara,https://www.logolynx.com/images/logolynx/14/14b70fa39921f5c0b6302406b0654e3c.png,INSTITUTE
i47,University of Georgia,https://brand.uga.edu/wp-content/uploads/GEORGIA-V-FC-1024x787.png,INSTITUTE
i48,University of California--Davis,https://logos-download.com/wp-content/uploads/2019/11/UC_Davis_Logo_text.png,INSTITUTE
i49,Princeton University,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Princeton_Univ_seal.svg/1200px-Princeton_Univ_seal.svg.png,INSTITUTE
i50,Auburn University,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/1158px-Auburn_Tigers_logo.svg.png,INSTITUTE
i51,Fordham University,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Fordham_University_seal.svg/1200px-Fordham_University_seal.svg.png,INSTITUTE
i52,University of Maryland--College Park,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/University_of_Maryland_seal.svg/1200px-University_of_Maryland_seal.svg.png,INSTITUTE
i53,Howard University,https://seekvectorlogo.com/wp-content/uploads/2018/01/howard-university-vector-logo.png,INSTITUTE
i54,University at Buffalo--SUNY,https://upload.wikimedia.org/wikipedia/commons/6/60/University_at_Buffalo_logo.png,INSTITUTE
i55,Texas A M University,https://brandguide.tamu.edu/assets/img/logos/tam-stack.png,INSTITUTE
i56,University of Massachusetts--Amherst,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/University_of_Massachusetts_Amherst_seal.svg/1200px-University_of_Massachusetts_Amherst_seal.svg.png,INSTITUTE
i57,Stony Brook University--SUNY,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Stony_Brook_U_logo_vertical.svg/1200px-Stony_Brook_U_logo_vertical.svg.png,INSTITUTE
i58,Purdue University--West Lafayette,https://www.clipartkey.com/mpngs/m/143-1431376_purdue-university-purdue-university-west-lafayette-logo-png.png,INSTITUTE
i59,George Washington University,https://creativeservices.gwu.edu/sites/g/files/zaxdzs2746/f/downloads/gw_primary_2c_0.png,INSTITUTE
i60,Indiana University--Bloomington,https://banner2.cleanpng.com/20180704/pft/kisspng-indiana-university-bloomington-indiana-university-5b3cde6d8562e9.1571788115307157575464.jpg,INSTITUTE
i61,University of Iowa,https://brand.uiowa.edu/sites/brand.uiowa.edu/files/styles/widescreen__768_x_432/public/2020-05/Block%20IOWA-gold%20on%20white%402x_0.png?h=42ab2369&itok=g1h8P3NH,INSTITUTE
i62,University of California--Santa Cruz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/The_University_of_California_1868_UCSC.svg/1200px-The_University_of_California_1868_UCSC.svg.png,INSTITUTE
i63,Pepperdine University,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pepperdine_Waves_logo.svg/1200px-Pepperdine_Waves_logo.svg.png,INSTITUTE
i64,American University,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/American_University_logo.svg/1280px-American_University_logo.svg.png,INSTITUTE
i65,Villanova University,https://www1.villanova.edu/content/villanova/unicommunication/brandguidelines/UniversityLogosandHierarchy/university-logo-examples/_jcr_content/pagecontent/imagegallery_1514176008/imageGalleryPar/image_2132671030.no.size.img.jpg,INSTITUTE
i66,Florida State University,http://alumni.fsu.edu/sites/alumni.fsu.edu/files/images/Community/Clubs/Image_Gallery/FSU%20Seal.png,INSTITUTE
i67,University of Minnesota--Twin Cities,https://p.kindpng.com/picc/s/23-238087_university-of-minnesota-twin-cities-logo-hd-png.png,INSTITUTE
i70,University of San Diego,https://www.sandiego.edu/brand/images/logos/master-primary/usd-logo-primary-thumb.png,INSTITUTE
i71,Virginia Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Virginia_Tech_Hokies_logo.svg/1280px-Virginia_Tech_Hokies_logo.svg.png,INSTITUTE
i72,Santa Clara University,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Santa_Clara_U_Seal.svg/1200px-Santa_Clara_U_Seal.svg.png,INSTITUTE
i73,Brigham Young University--Provo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Brigham_Young_University_medallion.svg/1200px-Brigham_Young_University_medallion.svg.png,INSTITUTE
i74,University of California--Merced,https://www.ucmerced.edu/sites/ucmerced.edu/files/images/ucm_logo_web_2019_v2.png,INSTITUTE
i75,University of California--Riverside,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/University_of_California%2C_Riverside_logo.svg/1280px-University_of_California%2C_Riverside_logo.svg.png,INSTITUTE
i76,Clemson University,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1071px-Clemson_Tigers_logo.svg.png,INSTITUTE
i77,Michigan State University,http://brand.msu.edu/_files/images/spartan-helmet-og.png,INSTITUTE
i78,Worcester Polytechnic Institute,https://www.pngfind.com/pngs/m/346-3464557_wpi-logo-wpi-worcester-polytechnic-institute-hd-png.png,INSTITUTE
i79,University of Denver,https://cdn.freelogovectors.net/wp-content/uploads/2020/01/university-of-denver-logo.png,INSTITUTE
i80,Pennsylvania State University--University Park,https://myatlascms.com/assets/1134/psu-logo.png,INSTITUTE
i81,Colorado School of Mines,https://www.mines.edu/webcentral/wp-content/uploads/sites/267/2019/02/stacked.jpg,INSTITUTE
i82,Binghamton University--SUNY,http://ws.binghamton.edu/kirchner/images/binghamton.jpg,INSTITUTE
i83,Texas Christian University,https://brand.tcu.edu/wp-content/uploads/2015/12/TCULogo_purple_5X7-01.jpg,INSTITUTE
i84,Gonzaga University,https://www.pinclipart.com/picdir/middle/356-3562031_gonzaga-university-gonzaga-bulldogs-logo-clipart.png,INSTITUTE
i85,Elon University,http://www.elon.edu/u/university-communications/wp-content/uploads/sites/137/2018/07/download-primary-standard.png,INSTITUTE
i86,Baylor University,https://www.clipartkey.com/mpngs/m/12-121760_baylor-bears-football-baylor-university-logo-png.png,INSTITUTE
i87,Rutgers University--New Brunswick,https://cdn.freelogovectors.net/wp-content/uploads/2019/01/rutgers-logo_university.png,INSTITUTE
i88,Stevens Institute of Technology,https://www.stevens.edu/news/newspoints/brand-logos/Stevens-Official-Red-R.png,INSTITUTE
i89,Southern Methodist University,"https://www.smu.edu/-/media/Site/DevelopmentExternalAffairs/MarketingCommunications/Logos/athletics/SMUwPony,-d-,BR.jpg?la=en",INSTITUTE
i91,North Carolina State University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/860px-North_Carolina_State_University_Athletic_logo.svg.png,INSTITUTE
i92,University of Pittsburgh--Pittsburgh Campus,https://www.brand.pitt.edu/sites/default/files/fullcolorseal.png,INSTITUTE
i93,Yeshiva University,https://www.yu.edu/sites/default/files/YU%20Shield%20C.JPG,INSTITUTE
i94,Rensselaer Polytechnic Institute,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Rensselaer_at_Hartford_Seal.svg/1200px-Rensselaer_at_Hartford_Seal.svg.png,INSTITUTE
i95,University of Miami,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/1280px-Miami_Hurricanes_logo.svg.png,INSTITUTE
i96,University of Arizona,https://brand.arizona.edu/sites/default/files/styles/uaqs_small/public/ua_stack_rgb_4.png?itok=rpSJAvvg,INSTITUTE
i97,University of Washington,https://s3-us-west-2.amazonaws.com/uw-s3-cdn/wp-content/uploads/sites/98/2014/09/07214451/W-Logo_Purple_Hex.png,INSTITUTE
i98,Syracuse University,https://cdnsecakmi.kaltura.com/p/2707131/sp/270713100/raw/entry_id/1_otl9h9j5/version/100011,INSTITUTE
i99,Marquette University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Marquette_mu_small.png/689px-Marquette_mu_small.png,INSTITUTE
